Date,From Time,To Time,Section,Subject Code - Subject Name,Location
6/5/2023,08:00,10:00,3A3-1,19CH404 - Chemical Process Industries,RB 1F LH 04
6/5/2023,08:00,10:00,3N3-1,19BM411 - Medical Imaging Systems,EEE 3F LH 02
6/5/2023,08:00,10:00,3S3-1,19MD601 - Biomedical Sensors and Measurements,ADMIN 4F LH 01
6/5/2023,08:00,10:00,3Z1-1,19EN102 - Technical English,RB 2F LH 02
6/5/2023,08:00,10:00,4F4-1,19EC401 - Electronic Circuits I,ECE 2F LH 01
6/5/2023,08:00,10:00,4G2-1,19EC401 - Electronic Circuits I,ECE 4F LH 01
6/5/2023,08:00,10:00,4G2-1,19CY205 - Principles of Chemistry in Engineering,RB 3F LH 16
6/5/2023,08:00,10:00,4G2-2,19EC401 - Electronic Circuits I,ECE 3F LH 01
6/5/2023,08:00,10:00,4G2-2,19CY205 - Principles of Chemistry in Engineering,RB 3F LH 15
6/5/2023,08:00,10:00,4H1-1,19MA219 - Transforms and its Applications,RB 3F LH 04
6/5/2023,08:00,10:00,4H1-1,19AG405 - Tractors and Automotive Engines,RB 3F LH 12
6/5/2023,08:00,10:00,4I5-1,19CS411 - Virtualization and Cloud Computing,CSE 2F LH 01
6/5/2023,08:00,10:00,4P1-1,19ME507 - Product Design and Development,RB 2F LH 08
6/5/2023,08:00,10:00,4P1-1,19ME533 - 3D Printing Processes,RB 2F LH 06
6/5/2023,08:00,10:00,4V2-1,19CS406 - Computer Networks,CSE 4F OW LH 03
6/5/2023,08:00,10:00,5D1-1,19EC302 - Electronic Devices,CSE 3F OW LH 05
6/5/2023,08:00,10:00,5D1-2,19EC302 - Electronic Devices,ECE 1F LH 01
6/5/2023,08:00,10:00,5G3-1,19EC306 - Analog and Digital Communication,CSE 1F LH 01
6/5/2023,08:00,10:00,5H4-1,19ME402 - Manufacturing Technology I,RB 3F LH 19
6/5/2023,08:00,10:00,5Q1-1,19EC404 - Electronic Circuits II,RB GF LH 01
6/5/2023,08:00,10:00,5Z1-1,19EC408 - Microprocessor and Microcontroller,EEE 3F LH 01
6/5/2023,12:00,2:00,3U1-1,19EN102 - Technical English,RB GF LH 01
6/5/2023,1:00,3:00,3E2-1,19EC402 - Signals and Systems,ECE 1F LH 01
6/5/2023,1:00,3:00,3J3-1,19BM412 - Anatomy and Human Physiology,CSE 4F OW LH 04
6/5/2023,1:00,3:00,3Q2-1,19EC516 - HDL Programming,ECE 1F LH 02
6/5/2023,1:00,3:00,3R1-1,19EN102 - Technical English,RB 3F LH 08
6/5/2023,1:00,3:00,3R1-2,19EN102 - Technical English,RB 1F LH 05
6/5/2023,1:00,3:00,3Y2-1,19EC501 - Multimedia Compression Techniques,ECE 2F LH 02
6/5/2023,1:00,3:00,4B3-1,19CS406 - Computer Networks,CSE 3F LH 02
6/5/2023,1:00,3:00,4C5-1,19CS408 - Software Engineering,CSE 3F LH 01
6/5/2023,1:00,3:00,4F2-1,19PH211 - Materials Science,RB 3F LH 17
6/5/2023,1:00,3:00,4F2-1,19CY205 - Principles of Chemistry in Engineering,RB 3F LH 12
6/5/2023,1:00,3:00,4G1-1,19AG418 - Farm Machinery and Equipment II,RB 3F LH 16
6/5/2023,1:00,3:00,4Y2-1,19ME521 - Computer Integrated Manufacturing Systems,RB 3F LH 05
6/5/2023,1:00,3:00,4Y2-2,19CS405 - Operating System,CSE 1F LH 01
6/5/2023,1:00,3:00,5F2-1,19EC409 - Discrete Time Signal Processing,ECE 2F LH 01
